date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:00:19	60168/60168	---M-Z	200	added ('OK')	application/xml	etag:%22eb08-55f36890174c0-gzip%22	https://www.w3.org/standards/webofdevices/news.xml	C:/NEW_BOOTCAMP/Lambda/CIRRICULUMN/WEEKS/2-resources/_GENERAL-RESOURCES/w3c-standard-forHTML/www.w3.org/standards/webofdevices/news.xml	(from https://www.w3.org/standards/webofdevices/)
09:00:19	15939/15939	---M-Z	200	added ('OK')	text/html	etag:%223e43-58bacb5e6f080;5b00ec84cabc0-gzip%22	https://www.w3.org/standards/webofdevices/voice	C:/NEW_BOOTCAMP/Lambda/CIRRICULUMN/WEEKS/2-resources/_GENERAL-RESOURCES/w3c-standard-forHTML/www.w3.org/standards/webofdevices/voice.html	(from https://www.w3.org/standards/webofdevices/)
09:00:20	14707/14707	---M-Z	200	added ('OK')	text/html	etag:%223973-58bacb5e6f080;5b00ec84c8f72-gzip%22	https://www.w3.org/standards/webofdevices/independence	C:/NEW_BOOTCAMP/Lambda/CIRRICULUMN/WEEKS/2-resources/_GENERAL-RESOURCES/w3c-standard-forHTML/www.w3.org/standards/webofdevices/independence.html	(from https://www.w3.org/standards/webofdevices/)
09:00:20	16632/16632	---M-Z	200	added ('OK')	text/html	etag:%2240f8-58bacb5e6f080;5b00ec85baf10-gzip%22	https://www.w3.org/standards/webofdevices/multimodal	C:/NEW_BOOTCAMP/Lambda/CIRRICULUMN/WEEKS/2-resources/_GENERAL-RESOURCES/w3c-standard-forHTML/www.w3.org/standards/webofdevices/multimodal.html	(from https://www.w3.org/standards/webofdevices/)
09:00:20	13637/13637	---M--	200	added ('OK')	text/html	etag:%223545-54f4f87729f40%22	https://www.w3.org/standards/webofdevices/tv	C:/NEW_BOOTCAMP/Lambda/CIRRICULUMN/WEEKS/2-resources/_GENERAL-RESOURCES/w3c-standard-forHTML/www.w3.org/standards/webofdevices/tv.html	(from https://www.w3.org/standards/webofdevices/)
09:00:21	43/43	---M--	200	added ('OK')	image/gif	date:Mon,%2012%20Apr%202021%2013:00:21%20GMT	http://pixel.wp.com/b.gif?host=html5apps-project.eu&blog=59373562&post=494&subd=html5appsproject&ref=&feed=1	C:/NEW_BOOTCAMP/Lambda/CIRRICULUMN/WEEKS/2-resources/_GENERAL-RESOURCES/w3c-standard-forHTML/pixel.wp.com/bdb09.gif	(from https://www.w3.org/standards/webofdevices/)
09:00:21	340/340	---M-Z	200	added ('OK')	application/xml	etag:%22154-54c748ad9cc40-gzip%22	https://www.w3.org/standards/webarch/news.xml	C:/NEW_BOOTCAMP/Lambda/CIRRICULUMN/WEEKS/2-resources/_GENERAL-RESOURCES/w3c-standard-forHTML/www.w3.org/standards/webarch/news.xml	(from https://www.w3.org/standards/webarch/)
09:00:21	11832/11832	---M-Z	200	added ('OK')	text/html	etag:%222e38-58bacb5d7ae40;5b00ec83d3d94-gzip%22	https://www.w3.org/standards/webarch/principles	C:/NEW_BOOTCAMP/Lambda/CIRRICULUMN/WEEKS/2-resources/_GENERAL-RESOURCES/w3c-standard-forHTML/www.w3.org/standards/webarch/principles.html	(from https://www.w3.org/standards/webarch/)
09:00:22	13378/13378	---M-Z	200	added ('OK')	text/html	etag:%223442-58bacb5d7ae40;5b00ec83d3d94-gzip%22	https://www.w3.org/standards/webarch/identifiers	C:/NEW_BOOTCAMP/Lambda/CIRRICULUMN/WEEKS/2-resources/_GENERAL-RESOURCES/w3c-standard-forHTML/www.w3.org/standards/webarch/identifiers.html	(from https://www.w3.org/standards/webarch/)
09:00:22	13564/13564	---M-Z	200	added ('OK')	text/html	etag:%2234fc-58bacb5d7ae40;5b00ec83d49e1-gzip%22	https://www.w3.org/standards/webarch/protocols	C:/NEW_BOOTCAMP/Lambda/CIRRICULUMN/WEEKS/2-resources/_GENERAL-RESOURCES/w3c-standard-forHTML/www.w3.org/standards/webarch/protocols.html	(from https://www.w3.org/standards/webarch/)
