Trading_date,Trading_period,Node,Price
1/04/2020,2,BPE0551,57.58
1/04/2020,2,BPE2201,57.55
1/04/2020,2,BPT1101,56.04
1/04/2020,2,BRB0331,60.86
1/04/2020,2,BRK0331,57.86
1/04/2020,2,BRY0661,58.45
1/04/2020,2,BWK1101,58.26
1/04/2020,2,CBG0111,58.47
1/04/2020,2,CLH0111,54.16
1/04/2020,2,CML0331,56.02
1/04/2020,2,COL0111,53.05
1/04/2020,2,COL0661,53.03
1/04/2020,2,CPK0111,57.56
1/04/2020,2,CPK0331,57.51
1/04/2020,2,CST0331,58.4
1/04/2020,2,CUL0331,58.98
1/04/2020,2,CUL0661,59.04
1/04/2020,2,CYD0331,55.9
1/04/2020,2,CYD2201,55.91
1/04/2020,2,DOB0331,60.06
1/04/2020,2,DOB0661,60.02
1/04/2020,2,DVK0111,58.26
1/04/2020,2,EDG0331,56.49
1/04/2020,2,EDN0331,60.73
1/04/2020,2,FHL0331,56.85
1/04/2020,2,FKN0331,56.33
1/04/2020,2,GFD0331,57.25
1/04/2020,2,GLN0331,59.85
1/04/2020,2,GLN0332,59.85
1/04/2020,2,GOR0331,59.03
1/04/2020,2,GYM0661,60.09
1/04/2020,2,GYT0331,57.54
1/04/2020,2,HAM0111,58.23
1/04/2020,2,HAM0331,58.42
1/04/2020,2,HAM0551,58.36
1/04/2020,2,HAM2201,58.32
1/04/2020,2,HAY0111,57.25
1/04/2020,2,HAY0331,57.21
1/04/2020,2,HAY1101,57.18
1/04/2020,2,HAY2201,57.14
1/04/2020,2,HEN0331,60.08
1/04/2020,2,HEN2201,60.03
1/04/2020,2,HEP0331,60.35
1/04/2020,2,HIN0331,58.91
1/04/2020,2,HKK0661,59.25
1/04/2020,2,HLY0331,58.75
1/04/2020,2,HLY2201,58.72
1/04/2020,2,HOB1101,60.19
1/04/2020,2,HOR0331,57.58
1/04/2020,2,HOR0661,57.52
1/04/2020,2,HTI0331,59.15
1/04/2020,2,HTI1101,58.94
1/04/2020,2,HUI0331,58.5
1/04/2020,2,HWA0331,58.45
1/04/2020,2,HWA0332,58.48
1/04/2020,2,HWA1101,58.32
1/04/2020,2,HWA1102,58.32
1/04/2020,2,HWB0331,57.56
1/04/2020,2,HWB0332,57.56
1/04/2020,2,HWB1101,57.29
1/04/2020,2,HWB2201,57.49
1/04/2020,2,INV0331,59.49
1/04/2020,2,INV2201,59.46
1/04/2020,2,INV2202,59.46
1/04/2020,2,ISL0331,58.67
1/04/2020,2,ISL0661,58.78
1/04/2020,2,ISL2201,58.64
1/04/2020,2,JRD1101,58.3
1/04/2020,2,KAI0111,59.85
1/04/2020,2,KAW0111,55.58
1/04/2020,2,KAW0112,55.79
1/04/2020,2,KAW0113,56.24
1/04/2020,2,KAW1101,55.82
1/04/2020,2,KAW2201,56.11
1/04/2020,2,KBY0661,57.93
1/04/2020,2,KBY0662,57.93
1/04/2020,2,KIK0111,59.31
1/04/2020,2,KIK2201,59.42
1/04/2020,2,KIN0111,59.17
1/04/2020,2,KIN0112,58.84
1/04/2020,2,KIN0113,59.15
1/04/2020,2,KIN0331,58.95
1/04/2020,2,KMO0331,57.17
1/04/2020,2,KOE1101,60.85
1/04/2020,2,KPA1101,57.63
1/04/2020,2,KPO1101,58.2
1/04/2020,2,KPU0661,59.69
1/04/2020,2,KUM0661,59.2
1/04/2020,2,KWA0111,57.4
1/04/2020,2,LFD1101,58.49
1/04/2020,2,LFD1102,58.49
1/04/2020,2,LTN0331,57.66
1/04/2020,2,MAN2201,58.08
1/04/2020,2,MAT1101,55.39
1/04/2020,2,MCH0111,59.84
1/04/2020,2,MDN1101,60.89
1/04/2020,2,MDN2201,60.67
1/04/2020,2,MGM0331,58.28
1/04/2020,2,MHO0331,57.14
1/04/2020,2,MKE1101,58.45
1/04/2020,2,MLG0111,57.3
1/04/2020,2,MLG0331,57.32
1/04/2020,2,MNG0331,60.4
1/04/2020,2,MNG1101,60.29
1/04/2020,2,MNI0111,58.49
1/04/2020,2,MPE1101,61.28
1/04/2020,2,MST0331,57.74
1/04/2020,2,MTI2201,56.57
1/04/2020,2,MTM0331,57.39
1/04/2020,2,MTN0331,57.74
1/04/2020,2,MTO0331,61.52
1/04/2020,2,MTR0331,57.86
1/04/2020,2,NAP2201,55.82
1/04/2020,2,NAP2202,55.82
1/04/2020,2,NMA0331,59.43
1/04/2020,2,NPK0331,58.34
1/04/2020,2,NSY0331,55.84
1/04/2020,2,OAM0331,57.43
1/04/2020,2,OHA2201,55.47
1/04/2020,2,OHB2201,55.52
1/04/2020,2,OHC2201,55.41
1/04/2020,2,OHK2201,56.47
1/04/2020,2,OKI2201,55.91
1/04/2020,2,OKN0111,58.09
1/04/2020,2,ONG0331,58.55
1/04/2020,2,OPK0331,58.11
1/04/2020,2,ORO1101,60.41
1/04/2020,2,ORO1102,60.49
1/04/2020,2,OTA0221,60.07
1/04/2020,2,OTA2201,59.9
1/04/2020,2,OTA2202,59.92
1/04/2020,2,OTI0111,56.41
1/04/2020,2,OWH0111,57
1/04/2020,2,PAK0331,59.94
1/04/2020,2,PAO1101,59.26
1/04/2020,2,PEN0221,60.32
1/04/2020,2,PEN0251,60.13
1/04/2020,2,PEN0331,60.26
1/04/2020,2,PEN1101,60.19
1/04/2020,2,PNI0331,57.36
1/04/2020,2,PPI2201,56.07
1/04/2020,2,PRM0331,57.26
1/04/2020,2,RDF0331,56.53
1/04/2020,2,RDF2201,56.39
1/04/2020,2,RFN1101,60.1
1/04/2020,2,RFN1102,60.49
1/04/2020,2,ROS0221,60.41
1/04/2020,2,ROS1101,60.38
1/04/2020,2,ROT0111,57.06
1/04/2020,2,ROT0331,57.07
1/04/2020,2,ROT1101,57.02
1/04/2020,2,ROX1101,56
1/04/2020,2,ROX2201,56.39
1/04/2020,2,RPO2201,56.11
1/04/2020,2,SBK0331,59.7
1/04/2020,2,SBK0661,59.67
1/04/2020,2,SDN0331,57.55
1/04/2020,2,SFD0331,58.06
1/04/2020,2,SFD2201,57.96
1/04/2020,2,STK0331,59.67
1/04/2020,2,STK0661,59.88
1/04/2020,2,STK2201,59.64
